,Chl.c3,Chl.c1,Per,X19but,Fuco,Neox,Pra,Viol,X19hex,Allo,Zea,Lut,ChlcMGDG.18,ChlcMGDG.14,Chl.b,Tchla
Prasinophytes,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1
Chlorophytes,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
Cryptophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Diatoms-A,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Diatoms-B,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Dinoflagellates-A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Haptophytes-H,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1
Haptophytes-L,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1
Pelagophytes,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Syn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
