Class,Pig_Abbrev,min,max
Syn,Zea,0.08,2.5
Chlorophytes,Neox,0.03,0.23
Chlorophytes,Viol,0.011,0.47
Chlorophytes,Lut,0.09,0.28
Chlorophytes,Zea,0.002,0.099
Chlorophytes,Chl_b,0.18,0.93
Prasinophytes,Neox,0.018,0.15
Prasinophytes,Pra,0.06,0.88
Prasinophytes,Viol,0.008,0.15
Prasinophytes,Lut,0.001,0.18
Prasinophytes,Zea,0.015,0.35
Prasinophytes,Chl_b,0.44,1.03
Cryptophytes,Allo,0.16,0.79
Diatoms-1,Chl_c1,0.003,0.057
Diatoms-1,Fuco,0.3,1.7
Diatoms-2,Chl_c3,0.046,0.27
Diatoms-2,Fuco,0.33,1.23
Pelagophytes,Chl_c3,0.15,0.31
Pelagophytes,X19but,0.24,3.1
Pelagophytes,Fuco,0.31,1.37
Dinoflagellates-1,Per,0.29,1.6
Haptophytes-1,Chl_c1,0.02,0.072
Haptophytes-1,Fuco,0.2,0.34
Haptophytes-6,Chl_c3,0.05,0.3
Haptophytes-6,X19but,0.001,0.19
Haptophytes-6,ChlcMGDG18,0.009,0.3
Haptophytes-6,ChlcMGDG14,0.009,0.3
Haptophytes-6,X19hex,0.03,1.5
Haptophytes-8,Chl_c3,0.021,0.55
Haptophytes-8,X19but,0.0001,0.98
Haptophytes-8,Fuco,0.011,2.15
Haptophytes-8,X19hex,0.0001,1.4
Haptophytes,Chl_c3,0.021,0.55
Haptophytes,X19but,0.0001,0.98
Haptophytes,Fuco,0.011,2.15
Haptophytes,X19hex,0.0001,1.4
Haptophytes,ChlcMGDG18,0.009,0.3
Haptophytes,ChlcMGDG14,0.009,0.3
Pro,Zea,0.05,1.2
Syn,Tchla,1,1
Chlorophytes,Tchla,1,1
Prasinophytes,Tchla,1,1
Cryptophytes,Tchla,1,1
Diatoms-1,Tchla,1,1
Diatoms-2,Tchla,1,1
Pelagophytes,Tchla,1,1
Dinoflagellates-1,Tchla,1,1
Dinoflagellates-2,Tchla,1,1
Haptophytes-1,Tchla,1,1
Haptophytes-6,Tchla,1,1
Haptophytes,Tchla,1,1
Haptophytes-8,Tchla,1,1
Pro,Dvchla,1,1
