Per,X19hex,Fuco,Pra,Viol,Allo,Zea
0.0097,0.23846,0.38051,0,0,0.01356,0.00243
0.00797,0.23691,0.29481,0,0,0.01176,0
0.00898,0.2175,0.28145,0,0,0.01124,0
0.0098,0.05819,0.11961,0,0,0.00763,0
0.00635,0.02745,0.05233,0,0,0.00644,0
0,0.01628,0.02679,0,0,0.00545,0.00347
0.01359,0.0707,0.34244,0,0,0.00546,0.00176
0.01374,0.0764,0.36567,0,0,0.00858,0
0.01404,0.07974,0.34792,0,0,0.00921,0
0,0.04853,0.06775,0,0,0.00782,0.00577
0,0.03395,0.0582,0,0,0.00498,0
0,0.02206,0.02637,0,0,0.00407,0
0.02196,0.0957,0.3661,0,0,0.01202,0
0.0199,0.09227,0.3833,0,0,0.01183,0
0.01931,0.09516,0.39531,0,0,0.01186,0
0.01964,0.10055,0.39662,0,0,0.01074,0
0.00521,0.09097,0.25496,0,0,0.00912,0.00787
0.00219,0.04109,0.09856,0.00581,0,0.00902,0.00428
0.01529,0.06675,0.41536,0,0,0.0062,0.00194
0.01908,0.06304,0.37975,0,0,0.00711,0
0.01874,0.05587,0.33401,0,0,0.00652,0
0.00304,0.04026,0.12681,0.00246,0,0.0058,0.0052
0.00304,0.03339,0.11685,0.00401,0,0.00786,0.00259
0.00151,0.0261,0.04768,0.00228,0,0.00449,0.00118
0.01076,0.07608,0.18516,0,0,0.00744,0
0.01059,0.06764,0.18332,0,0,0.00665,0
0.01261,0.07293,0.22005,0,0,0.00865,0
0.01556,0.08119,0.37422,0,0,0.00791,0
0.00291,0.045,0.19117,0,0,0.00866,0.01123
0.00324,0.03393,0.08624,0.00246,0,0.00502,0.00204
0.02857,0.13887,0.61735,0,0,0.01013,0.00386
0.02375,0.12782,0.55097,0,0,0.00975,0
0.02043,0.13213,0.60253,0,0,0.01342,0
0,0.05803,0.46765,0,0,0.0098,0.01615
0.00626,0.03085,0.15329,0,0,0.00687,0.01632
0,0.02656,0.04971,0.00229,0,0.00545,0.00244
0,0,0.10247,0,0,0.01079,0
0.00736,0.04437,0.13614,0,0,0.0087,0
0.00685,0.04703,0.18163,0,0,0.00666,0
0.00611,0.04758,0.18767,0,0,0.00696,0
0,0.0698,0.1144,0,0,0.00695,0
0,0.02833,0.05742,0,0,0.01322,0
0.01324,0.09068,0.25548,0,0,0.00901,0
0.02274,0.0864,0.32881,0,0,0.00341,0
0.00424,0.05923,0.57098,0,0,0.00972,0.00308
0.00275,0.03152,0.16943,0,0,0.00798,0.00775
0.00558,0.02629,0.09824,0.00178,0,0.00597,0.00545
0.0013,0.01376,0.02831,0,0,0.00511,0.00267
0.02273,0.13434,0.26867,0,0,0.01035,0.00289
0.02175,0.14472,0.30841,0,0,0.01222,0
0.02175,0.14472,0.30841,0,0,0.01222,0
0.01011,0.1382,0.77673,0,0,0.01475,0.01139
0,0.04563,0.1897,0.00244,0,0.00978,0.02331
0.00222,0.02829,0.09789,0,0,0.00728,0.00855
0.0063,0.11359,0.13828,0,0,0.01046,0
0.00774,0.12151,0.14636,0,0,0.01314,0
0.01168,0.11279,0.17882,0,0,0.00878,0
0.0103,0.07964,0.11331,0,0,0.00532,0
0.00387,0.08773,0.08163,0.00313,0,0.00868,0
0,0.06852,0.07904,0.00429,0,0.00614,0
0.00909,0.14902,0.22115,0,0,0.00725,0
0.01071,0.12662,0.21218,0,0,0.0086,0
0,0.07552,0.46766,0,0,0.0092,0.04206
0,0.05362,0.21139,0,0,0.00984,0.03068
0,0.03462,0.11557,0,0,0.00781,0.01227
0,0.01779,0.0663,0,0,0.00598,0.00379
0.00528,0.09991,0.10388,0,0,0.00791,0
0.02436,0.12082,0.24644,0,0,0.00975,0
0.05841,0.08489,0.17654,0,0,0.00867,0
0.00797,0.09242,0.11683,0,0,0.00692,0.00321
0,0.04183,0.06983,0,0,0.00535,0.00271
0,0.00961,0.04076,0,0,0.00461,0
0.00592,0.08003,0.08611,0,0,0.00687,0
0.00742,0.09046,0.09815,0,0,0.00549,0
0.00628,0.08434,0.09725,0,0,0.00619,0
0.00423,0.05664,0.09525,0.00861,0,0.00506,0.00131
0.00297,0.05212,0.08022,0.00516,0,0.00654,0.00276
0,0.03991,0.02829,0,0,0.0031,0
0.00309,0.13653,0.15709,0,0,0.00908,0.00166
0.00286,0.1394,0.15546,0,0,0.00895,0.0009
0.00617,0.13468,0.16401,0.00219,0,0.00872,0.00062
0.00202,0.0883,0.07296,0.00303,0,0.00508,0.00121
0,0.0279,0.01296,0,0,0.00357,0
0,0.01918,0.00703,0,0,0.00263,0
0.00345,0.09615,0.08331,0,0,0.00884,0.00147
0.00492,0.1209,0.10345,0,0,0.00997,0
0.00705,0.12394,0.11259,0,0,0.01179,0
0.01123,0.09198,0.085,0,0,0.00852,0
0.00275,0.06109,0.05765,0,0,0.0076,0
0.00419,0.03171,0.0306,0,0,0.00401,0
0.02347,0.06974,0.08699,0,0,0.0118,0.00228
0.02059,0.09477,0.09969,0,0,0.01202,0
0.02099,0.1193,0.10778,0,0,0.01171,0
0.01912,0.11249,0.10309,0,0,0.01124,0
0.007,0.03682,0.046,0.00421,0,0.00461,0
0.00237,0.02019,0.02217,0,0,0.00318,0
0.02067,0.05684,0.05599,0,0,0.01156,0.00215
0.0332,0.04962,0.06096,0,0,0,0
0.03351,0.07229,0.08485,0,0,0.01155,0
0.03719,0.10678,0.11187,0.00511,0,0.01128,0
0,0.06413,0.04411,0.00663,0,0.00557,0
0,0.01913,0.00631,0,0,0.00303,0
0.00798,0.06761,0.12227,0,0,0.01053,0.00169
0.007,0.08352,0.11532,0.00132,0,0.00977,0.00084
0.00862,0.12261,0.11339,0.00163,0,0.00881,0
0.01242,0.10245,0.13841,0.00847,0,0.00864,0.00113
0.00246,0.05881,0.05984,0.00711,0,0.00498,0.00147
0,0.02024,0.01273,0,0,0.00253,0
0.00449,0.08065,0.06966,0,0,0.00954,0
0.00314,0.08005,0.07414,0,0,0.00863,0
0.00792,0.15072,0.1001,0.00447,0,0.00896,0.0009
0.00718,0.13373,0.08129,0.01274,0,0.01248,0
0,0.0466,0.02901,0.00342,0,0.00335,0
0,0.03619,0.01287,0,0,0.0029,0
0.00594,0.05818,0.13407,0,0,0.01456,0.00218
0,0.06425,0.15189,0,0,0.01448,0
0.00476,0.10074,0.11691,0.00167,0,0.0091,0
