Class,Pig_Abbrev,min,max
Syn,Zea,0.08,1.2123
Chlorophytes,Neox,0.0091,0.1085
Chlorophytes,Viol,0.015,0.5875
Chlorophytes,Lut,0.1071,0.2295
Chlorophytes,Zea,0.0063,0.0722
Chlorophytes,Chl_b,0.1666,0.9254
Prasinophytes,Neox,0.0268,0.1026
Prasinophytes,Pra,0.0642,0.4369
Prasinophytes,Viol,0.0087,0.0996
Prasinophytes,Lut,0.025,0.0669
Prasinophytes,Zea,0.0151,0.1396
Prasinophytes,Chl_b,0.4993,0.9072
Cryptophytes,Allo,0.2118,0.5479
Diatoms-1,Chl_c1,0.0021,0.0452
Diatoms-1,Fuco,0.3315,0.9332
Diatoms-2,Chl_c3,0.0189,0.184
Diatoms-2,Fuco,0.3315,0.9332
Pelagophytes,Chl_c3,0.1471,0.2967
Pelagophytes,X19but,0.2457,1.4339
Pelagophytes,Fuco,0.3092,1.2366
Dinoflagellates-1,Per,0.3421,0.865
Haptophytes,Chl_c3,0.05,0.35
Haptophytes,X19but,0.0819,0.2872
Haptophytes,ChlcMGDG18,0.009,0.3
Haptophytes,ChlcMGDG14,0.009,0.3
Haptophytes,X19hex,0.2107,1.3766
Pro,Zea,0.08,1.2123
Haptophytes,Fuco,0.009,0.4689
Haptophytes,Tchla,1,1
Diatoms-2,Tchla,1,1
Diatoms-1,Tchla,1,1
Cryptophytes,Tchla,1,1
Prasinophytes,Tchla,1,1
Chlorophytes,Tchla,1,1
Syn,Tchla,1,1
Dinoflagellates-1,Tchla,1,1
Dinoflagellates-2,Tchla,1,1
Pelagophytes,Tchla,1,1
Pro,Dvchla,1,1
